point_index,serve_start_frame,point_end_frame,duration_frames,server,serve_attempt,start_position,end_position,rally_shots,point_awarded,winner,end_reason,why,category,score_before,score_after,p1_games,p1_points,p2_games,p2_points,next_server,next_serve
1,35,65,30,P1,1st,"(2616,887)","(1722,431)",0,no,,Ball hit the net,first serve fault,first_serve_fault,P1 0G 0 - P2 0G 0,P1 0G 0 - P2 0G 0,0,0,0,0,P1,2nd
2,148,265,117,P1,2nd,"(2515,925)","(1301,781)",0,yes,P2,Ball bounced twice on court,double bounce on opponent side,unreturned,P1 0G 0 - P2 0G 0,P1 0G 0 - P2 0G 15,0,0,0,15,P1,1st
3,521,804,283,P1,1st,"(1239,846)","(1531,239)",1,yes,P2,Ball bounced out of court (far baseline),ball out on player court; opponent fault,out_error,P1 0G 0 - P2 0G 15,P1 0G 0 - P2 0G 30,0,0,0,30,P1,1st
4,1177,1327,150,P1,1st,"(2613,880)","(1114,846)",1,yes,P1,Ball bounced out of court (left sideline),ball out on player court; opponent fault,out_error,P1 0G 0 - P2 0G 30,P1 0G 15 - P2 0G 30,0,15,0,30,P1,1st
5,1564,1712,148,P1,1st,"(1224,888)","(2218,190)",1,yes,P1,Ball hit upper fence and fell down,ball jumped and was not returned,unreturned,P1 0G 15 - P2 0G 30,P1 0G 30 - P2 0G 30,0,30,0,30,P1,1st
6,2065,2104,39,P1,1st,"(2623,886)","(1780,311)",0,no,,Serve bounce outside left service box,first serve fault,first_serve_fault,P1 0G 30 - P2 0G 30,P1 0G 30 - P2 0G 30,0,30,0,30,P1,2nd
7,2220,2356,136,P1,2nd,"(2544,906)","(1464,432)",1,yes,P1,Ball hit the net,ball hit net on player side,net_error,P1 0G 30 - P2 0G 30,P1 0G 40 - P2 0G 30,0,40,0,30,P1,1st
8,2805,2963,158,P1,1st,"(1184,885)","(2094,244)",1,yes,P2,STUCK_TIMEOUT,last hitter lost point,out_error,P1 0G 40 - P2 0G 30,P1 0G 40 - P2 0G 40,0,40,0,40,P1,1st
9,3263,3295,32,P1,1st,"(2618,900)","(1818,457)",0,no,,Ball hit the net,first serve fault,first_serve_fault,P1 0G 40 - P2 0G 40,P1 0G 40 - P2 0G 40,0,40,0,40,P1,2nd
10,3359,3484,125,P1,2nd,"(2361,918)","(2068,526)",1,yes,P2,Ball bounced on hitter side after crossing net,last hitter lost point,out_error,P1 0G 40 - P2 0G 40,P1 0G 40 - P2 0G AD,0,40,0,AD,P1,1st
11,3878,3909,31,P1,1st,"(1170,893)","(2374,368)",0,no,,Serve bounce outside right service box,first serve fault,first_serve_fault,P1 0G 40 - P2 0G AD,P1 0G 40 - P2 0G AD,0,40,0,AD,P1,2nd
12,4023,4196,173,P1,2nd,"(1210,923)","(2302,463)",1,yes,P1,Ball hit the net,ball hit net on player side,net_error,P1 0G 40 - P2 0G AD,P1 0G 40 - P2 0G 40,0,40,0,40,P1,1st
13,4784,4888,104,P1,1st,"(2582,890)","(3830,2146)",0,yes,P2,Ball bounce outside singles court (right sideline),ball bounced on player side and was not returned,unreturned,P1 0G 40 - P2 0G 40,P1 0G 40 - P2 0G AD,0,40,0,AD,P1,1st
14,5224,5754,530,P1,1st,"(1266,868)","(2106,1294)",5,yes,P1,Ball bounced twice on court,opponent did not return after bounce,unreturned,P1 0G 40 - P2 0G AD,P1 0G 40 - P2 0G 40,0,40,0,40,P1,1st
15,5913,5945,32,P1,1st,"(2625,887)","(1797,442)",0,no,,Ball hit the net,first serve fault,first_serve_fault,P1 0G 40 - P2 0G 40,P1 0G 40 - P2 0G 40,0,40,0,40,P1,2nd
16,6023,6166,143,P1,2nd,"(2432,915)","(2079,176)",1,yes,P2,Ball bounced out of court (far baseline),ball out on player court; opponent fault,out_error,P1 0G 40 - P2 0G 40,P1 0G 40 - P2 0G AD,0,40,0,AD,P1,1st
17,6668,7012,344,P1,1st,"(1194,868)","(2230,847)",3,yes,P1,Ball bounced twice on court,opponent did not return after bounce,unreturned,P1 0G 40 - P2 0G AD,P1 0G 40 - P2 0G 40,0,40,0,40,P1,1st
18,7282,7456,174,P1,1st,"(2631,885)","(3209,1177)",1,yes,P1,Ball bounced out of court (right sideline),ball out on player court; opponent fault,out_error,P1 0G 40 - P2 0G 40,P1 0G AD - P2 0G 40,0,AD,0,40,P1,1st
19,7769,7885,116,P1,1st,"(1223,880)","(1612,441)",1,yes,P1,Ball hit the net,ball hit net on player side,net_error,P1 0G AD - P2 0G 40,P1 1G 0 - P2 0G 0,1,0,0,0,P2,1st
